customer_dim_id,customer_id,customer_first_name,customer_last_name,customer_type,customer_store_state,customer_store_city,customer_store_street,customer_store_zipcode,customer_store_latitude,customer_store_longitude
88,88,Mary,Henry,Corporate,Georgia,Atlanta,7262 Cotton Arbor,30318,33.8102264,-84.4180832
89,89,Sean,Smith,Consumer,California,Escondido,9126 Wishing Expressway,92027,33.1306114,-117.0632095
90,90,Mary,Hurley,Consumer,Puerto Rico,Caguas,6640 Sunny Via,00725,18.2275696,-66.0435715
91,91,Ashley,Smith,Consumer,Texas,Spring,4515 Golden Manor,77379,32.8766060,-97.4292603
92,92,Alexander,Medina,Home Office,Puerto Rico,Caguas,2805 Dewy Impasse,00725,18.2275715,-66.0435562
93,93,Mary,Robbins,Corporate,Maryland,Annapolis,456 Colonial Glen,21401,38.9763374,-76.4992905
94,94,Mary,Smith,Corporate,Puerto Rico,Caguas,921 Broad Chase,00725,18.2275887,-66.0436020
95,95,Susan,Williams,Corporate,Maryland,Hyattsville,3587 Thunder Rise,20783,33.3559799,-111.9122238
96,96,Virginia,Smith,Home Office,Puerto Rico,Caguas,6080 Blue Close,00725,18.2275314,-66.0435562
97,97,Mary,Rhodes,Corporate,Arizona,Phoenix,1463 Silver Mountain Gate,85008,33.3007927,-112.0346222
98,98,William,Smith,Consumer,Puerto Rico,Caguas,4592 Grand Timber Ramp,00725,18.2276192,-66.0435638
99,99,Betty,Munoz,Consumer,Nevada,Las Vegas,9761 Green Jetty,89123,36.1986771,115.2630768
100,100,George,Barrett,Consumer,Puerto Rico,Caguas,4110 Silent Pointe,00725,18.2276020,-66.0435715
101,101,Mary,Briggs,Corporate,Massachusetts,Dorchester Center,8342 Crystal Drive,02124,37.6859093,-120.9584427
102,102,Gregory,Smith,Corporate,Puerto Rico,Caguas,5393 Hidden Glade,00725,18.2275810,-66.0435715
103,103,Mary,Williams,Corporate,Colorado,Broomfield,4501 Cinder Dell,80020,37.6722908,-121.0311356
104,104,Debra,Wood,Home Office,Minnesota,Saint Paul,8263 Harvest Estates,55112,34.0007629,-117.8856812
105,105,Mary,Smith,Consumer,Puerto Rico,Caguas,8696 Fallen Cloud Circle,00725,18.2275696,-66.0435791
106,106,Lauren,Freeman,Corporate,California,Napa,2783 Foggy Mews,94558,38.3181572,-122.2831039
107,107,Mary,Weaver,Consumer,Puerto Rico,Caguas,1449 Amber Island,00725,18.2276478,-66.0435181
108,108,Joshua,Smith,Consumer,New York,Bronx,4587 Noble Zephyr Promenade,10462,40.8283653,-73.8694305
109,109,Mary,Thompson,Corporate,Puerto Rico,Caguas,8662 Clear Nectar Mall ,00725,18.2475185,-66.0252991
110,110,David,Miranda,Corporate,Oregon,Beaverton,1491 Little Robin Way,97006,45.4973335,-12.2705612
111,111,Frank,Smith,Corporate,Puerto Rico,Caguas,8736 Hazy River Manor,00725,18.2276630,-66.0436173
112,112,Mary,Daniels,Consumer,Ohio,Middletown,9814 Blue Anchor Dell,45044,40.9757004,-81.3888397
113,113,Patricia,Smith,Consumer,Puerto Rico,Caguas,2457 Blue Hills Heights,00725,18.3990784,-66.1121979
114,114,Alice,Warner,Home Office,California,Bellflower,4566 Burning Deer Meadow,90706,33.8470535,-118.1272278
115,115,Mary,Smith,Consumer,California,West Covina,1613 Broad Beach,91790,33.7846680,-118.0703735
116,116,John,Hill,Home Office,Puerto Rico,Caguas,3996 Honey Grove Place,00725,18.2275925,-66.0435638
117,117,Mary,Smith,Consumer,Wisconsin,La Crosse,6063 Golden Point,54601,43.8129425,-91.2430573
118,118,Katherine,Olson,Consumer,Utah,Ogden,9530 Little Fox Towers,84404,41.2827721,-112.1233444
119,119,Mary,Rosario,Consumer,Puerto Rico,Caguas,5488 Thunder Fox Extension,00725,18.2275829,-66.0435791
120,120,Nancy,Smith,Consumer,New York,Bronx,7840 Umber Sky Villas,10461,40.8370323,-73.8874054
121,121,Mary,Yoder,Corporate,Puerto Rico,Caguas,3570 Crystal Cider Circuit,00725,18.2276020,-66.0435638
122,122,Karen,Smith,Consumer,Ohio,Cincinnati,7573 Cozy Goose Road,45238,39.2884941,-84.3551178
123,123,Mary,Mann,Corporate,Oregon,Bend,7676 Colonial Towers,97701,44.0597382,-12.1309376
124,124,Judy,Smith,Consumer,Puerto Rico,Caguas,911 Sleepy Cloud Carrefour,00725,18.2383270,-66.0211868
125,125,Mary,Gallagher,Consumer,California,Oxnard,9831 Sunny Cloud Valley,93030,33.7902412,-118.2131653
126,126,Austin,Smith,Home Office,Texas,Amarillo,852 Hazy Gate Circuit,79109,35.1886482,-101.8707352
127,127,Mary,Martin,Home Office,Puerto Rico,Caguas,437 Cozy Log Range,00725,18.2275696,-66.0435791
128,128,Rose,Lopez,Consumer,Georgia,Augusta,9557 Harvest Mews,30906,33.4586334,-82.0661392
129,129,Crystal,Smith,Home Office,Puerto Rico,Caguas,3688 Thunder Prairie Heights,00725,18.2275581,-66.0435715
130,130,Mary,Holland,Home Office,Illinois,Aurora,9897 Sunny Via,60504,41.7640724,-88.2114410
131,131,Brenda,Cline,Consumer,Massachusetts,Methuen,8632 Bright Route,01844,42.7437363,-71.1648178
132,132,Eric,Smith,Corporate,Puerto Rico,Caguas,1131 Cotton Grounds,00725,18.2474766,-66.0252838
133,133,Mary,Lopez,Consumer,New York,Brooklyn,948 Thunder Gate Beach,11219,40.7013435,-73.9391480
134,134,Donna,Gomez,Consumer,New York,Brooklyn,1690 Cinder Deer Chase,11224,40.7770042,-73.3197479
135,135,Mary,Smith,Consumer,Puerto Rico,Caguas,9624 Hidden Villas,00725,18.2475357,-66.0252533
136,136,Ryan,Griffin,Corporate,Massachusetts,Lynn,7897 Stony Thicket,01902,42.4367523,-71.0232620
137,137,Jonathan,Perkins,Consumer,Oklahoma,Broken Arrow,182 Bright Embers Cove,74012,35.8944664,-97.5764084
138,138,Mary,Dawson,Consumer,Puerto Rico,Caguas,9544 Noble Spring Route,00725,18.2275810,-66.0435715
139,139,Daniel,Maxwell,Home Office,California,San Diego,9468 Red Corner,92104,32.9036179,-117.0988388
140,140,Amanda,Smith,Corporate,Puerto Rico,Caguas,5712 Heather Rise,00725,18.2476006,-66.0252762
141,141,Mary,Mcmahon,Consumer,New York,Brooklyn,1526 Broad Mountain Plaza,11203,32.7167168,-116.9972610
142,142,Heather,Smith,Consumer,Florida,Opa Locka,814 Jagged Cape,33055,25.8997269,-80.2515335
143,143,Mary,Byrd,Corporate,Puerto Rico,Caguas,7793 Round Oak Key,00725,18.2476082,-66.0252457
144,144,David,Smith,Corporate,New York,Bronx,8289 Stony Thicket,10462,40.8526383,-73.8709793
145,145,Joan,Walters,Consumer,Ohio,Dayton,8314 Burning Circuit,45424,39.7605782,-84.3382187
146,146,Amber,Mercado,Home Office,Puerto Rico,Caguas,14 Dusty Lake Beach,00725,18.2163963,-66.0416946
147,147,Mary,Smith,Home Office,Pennsylvania,Hanover,443 Jagged Lane,17331,38.9918785,-76.8780518
148,148,Stephanie,Richards,Consumer,Puerto Rico,Caguas,245 Lost Way,00725,18.2475834,-66.0252838
149,149,Shirley,Mcclain,Home Office,California,Colton,9729 Emerald Pony Mount,92324,32.7987289,-116.9538727
150,150,Mary,Smith,Corporate,New Jersey,Union,5593 Indian Trail,07083,33.6889610,-117.9957428
151,151,Lisa,Shaw,Consumer,Texas,Richmond,9772 Noble Prairie Quay,77469,29.4944687,-98.5877304
152,152,Mary,Smith,Consumer,Puerto Rico,Caguas,8333 Red Passage,00725,18.2475796,-66.0252533
153,153,Andrew,Marshall,Home Office,Florida,Hollywood,8428 Blue Prairie Farm,33021,36.6739960,-121.6583023
154,154,Emily,May,Corporate,Florida,Brandon,6697 Thunder Dale Downs,33511,27.8838902,-82.2972031
155,155,Brittany,Juarez,Consumer,Puerto Rico,Caguas,1809 Lost Pine Ledge,00725,18.2475548,-66.0252686
156,156,Mary,Smith,Consumer,California,Los Angeles,2291 Thunder Leaf Corners,90001,38.3055306,-122.2734375
157,157,Catherine,Chan,Corporate,California,Citrus Heights,7125 Silent Expressway,95610,38.7106857,-121.2512665
158,158,Mary,Smith,Corporate,Puerto Rico,Caguas,5517 Jagged Hollow,00725,18.2475834,-66.0252838
159,159,John,Love,Corporate,New York,Corona,5002 High Bank,11368,32.6417542,-116.9799118
160,160,Ashley,Smith,Home Office,New York,Brooklyn,3271 Amber Downs,11229,40.6699677,-73.8603363
161,161,Mary,Smith,Corporate,Florida,Hialeah,6889 Pleasant Mount,33010,25.8112335,-80.2630768
162,162,John,Garcia,Corporate,Puerto Rico,Caguas,5452 Jagged Green,00725,18.2275772,-66.0456238
163,163,Austin,Diaz,Consumer,New Mexico,Rio Rancho,6843 Dusty Log Edge,87124,35.2122879,-106.6566849
164,164,Mary,Carlson,Consumer,Puerto Rico,Caguas,4527 Silent Fawn Wharf,00725,18.2475910,-66.0252838
165,165,Joseph,Ewing,Consumer,California,Antioch,7129 Fallen Trace,94509,38.0169869,-121.7537537
166,166,Steven,Smith,Consumer,Missouri,Florissant,2805 Indian Passage,63031,38.5875816,-90.4830322
167,167,Stephanie,Rodriguez,Corporate,Ohio,Columbus,923 Little Bend,43228,39.4478264,-84.1894074
168,168,Eric,Morris,Consumer,Puerto Rico,Caguas,295 Quaking Timber By-pass,00725,18.2475433,-66.0253220
169,169,Debra,Mccarthy,Corporate,New York,Bronx,3216 Rocky Centre,10466,40.8714943,-73.8723373
170,170,Mary,Smith,Corporate,Colorado,Broomfield,1996 Easy Parade,80020,39.9504280,-105.1293259
171,171,Evelyn,Potter,Consumer,Puerto Rico,Caguas,1661 Gentle Rabbit Turnabout,00725,18.2475166,-66.0252380
172,172,Lauren,Rush,Home Office,California,Chino,6229 Indian Robin Parade,91710,34.0060539,-117.7307358
173,173,Jose,Smith,Consumer,Illinois,Lombard,3493 High Apple Walk,60148,34.0663185,-117.8853378
174,174,Mary,Perez,Home Office,Puerto Rico,Caguas,6332 Round Range,00725,18.1464901,-66.5489655
175,175,Ronald,Guzman,Home Office,California,Los Angeles,8284 Pleasant Pine Villas,90042,34.1137352,-118.1886444
176,176,Amy,Smith,Corporate,Maryland,Dundalk,151 Red Deer Landing,21222,33.8795166,-117.8717194
177,177,Mary,Melendez,Consumer,Puerto Rico,Caguas,7027 Sleepy Farm,00725,18.2475452,-66.0252838
178,179,Mary,Rodgers,Consumer,California,Los Angeles,8916 Round Zephyr Ridge,90033,38.9388657,-119.9820023
179,180,Juan,Smith,Corporate,Puerto Rico,Caguas,2017 Fallen Sky Row,00725,18.2475319,-66.0252838
180,181,Mary,Jones,Home Office,Pennsylvania,Irwin,1723 Tawny Via,15642,33.9318504,-117.9664383
181,182,James,Ortiz,Consumer,Puerto Rico,Caguas,7446 Rocky Inlet,00725,18.2475643,-66.0252914
182,183,Wayne,Smith,Consumer,California,Hayward,4197 Lazy Diversion,94541,33.6183739,-117.1344681
183,184,Mary,Boyd,Consumer,New York,Lindenhurst,3594 Thunder Zephyr Bank,11757,40.6867676,-73.3734512
184,185,Deborah,Smith,Consumer,Kentucky,Louisville,9295 Emerald Downs,40214,38.1598396,-85.5902634
185,186,Diane,Jones,Home Office,Puerto Rico,Caguas,7580 Cozy Inlet,00725,18.2476158,-66.0252838
186,187,Mildred,Herrera,Consumer,California,Antioch,8771 Middle Quail Heath,94509,38.0169869,-121.7537537
187,188,Mary,Smith,Consumer,California,Los Angeles,771 Noble Parkway,90019,34.2099533,-118.4617996
188,189,Angela,Peterson,Corporate,Texas,San Marcos,4435 Harvest Apple Port,78666,29.8163128,-98.0155258
189,190,Mary,Hayes,Corporate,Puerto Rico,Caguas,3819 Easy Knoll,00725,18.2236843,-66.0492859
190,191,Victoria,Smith,Home Office,Oregon,Portland,8311 Round Lookout,97206,42.6655502,-12.2501831
191,192,Mary,Hall,Home Office,Puerto Rico,Caguas,3342 Bright Robin Stead,00725,18.2476120,-66.0252762
192,193,Melissa,Flores,Corporate,Maryland,Gaithersburg,1494 Indian Range,20878,39.1284103,-77.2071457
193,194,Mary,Bates,Consumer,Puerto Rico,Caguas,1185 Rustic River Thicket,00725,18.2475853,-66.0252152
194,195,Richard,Smith,Corporate,California,Modesto,9363 Dusty Butterfly Extension,95350,37.6610565,-121.0029831
195,196,Thomas,Watson,Home Office,Michigan,Dearborn,4179 Merry Wood,48126,30.0741940,-99.3595886
196,197,Ruth,Smith,Consumer,Puerto Rico,Caguas,2311 Green Zephyr Rise,00725,18.2475624,-66.0252686
197,198,Mary,Joseph,Home Office,Pennsylvania,Lancaster,5078 Green Street,17601,40.0445137,-76.3170548
198,199,Cynthia,Horn,Home Office,Puerto Rico,Caguas,9092 Middle Deer Dale,00725,18.2475681,-66.0252686
199,200,Keith,Smith,Consumer,Massachusetts,Lynn,9315 Shady Grove Row,01902,42.4367600,-71.0232773
200,201,Mary,Grimes,Consumer,Florida,Jacksonville,1822 Rustic Lane,32244,30.2722111,-81.8306122
201,202,Sharon,Smith,Home Office,Puerto Rico,Caguas,586 Gentle Anchor Chase,00725,18.2475586,-66.0252686
202,203,Madison,Blankenship,Home Office,Arizona,Phoenix,5486 Jagged Lake Avenue,85033,34.5174713,-114.2983322
203,204,Mary,Smith,Consumer,Nevada,Las Vegas,6501 Blue Green,89123,36.0168610,-115.1588364
204,205,Ryan,Garcia,Corporate,Puerto Rico,Caguas,911 Lost Zephyr Vista,00725,18.2382908,-66.0212021
205,206,Mary,West,Consumer,Florida,Pompano Beach,5274 Noble Isle,33068,30.3596993,-81.6037140
206,207,Jose,Powers,Corporate,Puerto Rico,Caguas,3937 Sunny Common,00725,18.2475834,-66.0252838
207,208,Mary,Smith,Home Office,Puerto Rico,Bayamon,3856 Noble Zephyr By-pass,00957,18.3796444,-66.2339630
208,209,Thomas,Moore,Consumer,Texas,Fort Worth,2857 Cozy Mews,76133,32.6581993,-97.4026108
209,210,Jonathan,Burns,Corporate,Puerto Rico,Caguas,432 Rocky Link,00725,18.3878098,-66.0391312
210,211,Mary,Smith,Corporate,Georgia,Lawrenceville,4778 Misty Bear Port,30043,29.7421951,-95.4700012
211,212,Roger,Johnson,Consumer,New York,South Ozone Park,5723 Stony Valley,11420,40.8720131,-73.8723373
212,213,Mary,Mclaughlin,Corporate,Connecticut,Enfield,3881 Golden Corners,06082,35.2335663,-125.4500504
213,214,Lauren,Booth,Home Office,Puerto Rico,Caguas,3178 Golden Villas,00725,18.2302990,-66.0314636
214,215,Mary,Smith,Home Office,New York,Flushing,5364 Heather Quail Court,11354,40.7150765,-73.9155045
215,216,Martha,Davis,Home Office,California,Visalia,7469 Misty Log Estates,93277,36.2913971,-119.3086929
216,217,Mary,Hughes,Corporate,Puerto Rico,Caguas,1490 Silver Canyon,00725,18.2475586,-66.0253906
217,218,Charles,Tyler,Consumer,California,La Puente,4845 Thunder Embers Hollow,91744,33.8111229,-112.0818558
218,220,Janet,Smith,Consumer,California,Salinas,4629 Dusty Pony Highway,93906,36.7101173,-121.6486511
219,221,Mary,Cox,Consumer,Ohio,Columbus,7463 Clear Branch Thicket,43230,30.2797298,-97.8398514
220,222,Frank,Ruiz,Corporate,Illinois,Carol Stream,9871 Cozy Pioneer Mountain,60188,41.8903275,-88.1065750
221,223,Ralph,Smith,Home Office,Puerto Rico,Caguas,7302 Cotton Freeway,00725,18.3590050,-66.0781632
222,224,Mary,Hernandez,Corporate,West Virginia,Wheeling,8777 Silent View,26003,40.0940971,-80.5967865
223,225,Megan,Watson,Corporate,Puerto Rico,Caguas,732 Honey Harbour,00725,18.2475548,-66.0252457
224,226,Rose,Sanders,Consumer,California,Oxnard,4583 Heather Blossom Diversion,93030,34.2433052,-119.1805344
225,227,Mary,Smith,Home Office,Arizona,Tempe,6120 Cozy Ledge,85283,33.4209328,-111.8973770
226,228,Jessica,Clark,Consumer,Puerto Rico,Caguas,521 Fallen Lagoon Glade,00725,18.2475891,-66.0252686
227,229,Mary,Garrett,Consumer,Florida,Jacksonville,4312 Bright Corner,32225,30.3195725,-81.4772492
228,230,Kimberly,Smith,Consumer,Puerto Rico,Caguas,5835 Harvest Vista,00725,18.2476578,-66.0252914
229,231,Mary,Conner,Consumer,Michigan,Wyoming,2737 Jagged Byway,49509,42.3561668,-83.3613892
230,232,Gloria,Bean,Corporate,Puerto Rico,Caguas,4197 Colonial Prairie Mews,00725,18.1967735,-66.3340683
231,233,Hannah,Smith,Corporate,Arizona,Glendale,636 Middle Mountain Farms,85301,33.8111229,-112.0818558
232,234,Mary,Giles,Consumer,Florida,Miami,3729 Cinder Grove Concession,33157,34.2251244,-119.1793594
233,235,David,Smith,Consumer,New Jersey,Piscataway,75 Sunny Grounds,08854,40.4995651,-74.4491501
234,236,Ashley,Clark,Home Office,Puerto Rico,Caguas,7017 Clear Bay,00725,18.2475605,-66.0252762
235,237,Mary,Smith,Consumer,California,San Jose,3282 Indian Hollow,95148,37.3265038,-121.7410736
236,238,Charles,Turner,Corporate,Puerto Rico,Caguas,7760 Golden Limits,00725,18.3590031,-66.0781555
237,239,Mary,Simpson,Corporate,Texas,Mcallen,5530 Dewy Pioneer By-pass,78501,26.2207069,-98.2501602
238,240,David,Smith,Consumer,Puerto Rico,Caguas,1099 High Green,00725,18.2475700,-66.0252609
239,241,Janet,Carter,Corporate,Ohio,Hamilton,9439 Pleasant Rise Falls,45013,36.7252617,-119.7846375
240,242,Mary,Stein,Corporate,Hawaii,Mililani,5292 Heather Zephyr Forest,96789,21.4532585,-158.0102234
241,243,Deborah,Smith,Consumer,Puerto Rico,Caguas,7637 Silver Lake Passage,00725,18.3590221,-66.0781708
242,244,Mary,Hutchinson,Home Office,California,Long Beach,4502 Crystal Turnabout,90805,37.3823624,-122.0837021
243,245,Deborah,Smith,Consumer,New York,Yonkers,6425 Thunder Impasse,10701,40.9257507,-73.8705216
